City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Omboue,-1.5746,9.2618,74.75,89,95,6.24,GA,2022-08-21 19:08:08
1,Lamu,-2.2717,40.902,75.42,81,0,16.96,KE,2022-08-21 19:08:08
2,Broken Hill,-31.95,141.4333,51.49,59,10,10.74,AU,2022-08-21 19:08:09
3,Yar-Sale,66.8333,70.8333,54.57,94,100,5.32,RU,2022-08-21 19:08:09
4,Albany,42.6001,-73.9662,87.03,47,100,3.0,US,2022-08-21 19:07:31
5,San Cristobal,7.7669,-72.225,87.98,47,100,7.65,VE,2022-08-21 19:07:02
6,Upernavik,72.7868,-56.1549,40.98,82,35,10.0,GL,2022-08-21 19:08:10
7,Punta Arenas,-53.15,-70.9167,51.91,66,40,24.16,CL,2022-08-21 19:08:10
8,Namatanai,-3.6667,152.4333,77.65,83,81,5.17,PG,2022-08-21 19:08:11
9,Nikolskoye,59.7035,30.7861,70.81,68,34,6.02,RU,2022-08-21 19:08:11
10,Mataura,-46.1927,168.8643,48.47,96,100,1.59,NZ,2022-08-21 19:08:11
11,Bengkulu,-3.8004,102.2655,74.14,87,100,3.76,ID,2022-08-21 19:08:12
12,Kaitangata,-46.2817,169.8464,45.45,83,100,5.61,NZ,2022-08-21 19:08:10
13,Shenzhen,22.5455,114.0683,85.21,92,94,3.27,CN,2022-08-21 19:08:12
14,Yellowknife,62.456,-114.3525,62.56,59,100,6.29,CA,2022-08-21 19:06:17
15,Moree,-29.4667,149.85,45.77,89,24,8.21,AU,2022-08-21 19:08:13
16,Ushuaia,-54.8,-68.3,47.86,66,100,5.75,AR,2022-08-21 19:08:11
17,Marsa Matruh,31.3525,27.2453,79.97,71,0,14.09,EG,2022-08-21 19:08:14
18,Lebu,-37.6167,-73.65,55.54,77,0,12.93,CL,2022-08-21 19:08:14
19,Dubbo,-32.25,148.6167,33.93,100,74,5.75,AU,2022-08-21 19:05:34
20,Bredasdorp,-34.5322,20.0403,48.6,93,0,6.38,ZA,2022-08-21 19:08:15
21,Vanavara,60.34,102.2797,46.49,97,100,4.41,RU,2022-08-21 19:08:15
22,Qaanaaq,77.484,-69.3632,37.45,61,100,4.05,GL,2022-08-21 19:08:15
23,Hithadhoo,-0.6,73.0833,82.22,77,98,11.59,MV,2022-08-21 19:08:16
24,Honningsvag,70.9821,25.9704,62.35,88,75,11.5,NO,2022-08-21 19:08:16
25,Sao Filipe,14.8961,-24.4956,77.14,88,100,7.74,CV,2022-08-21 19:08:17
26,Lata,40.1629,-8.3327,70.25,77,0,6.67,PT,2022-08-21 19:08:17
27,New Norfolk,-42.7826,147.0587,55.92,75,100,1.99,AU,2022-08-21 19:08:17
28,Busselton,-33.65,115.3333,49.66,72,45,10.58,AU,2022-08-21 19:08:18
29,Norman Wells,65.282,-126.8329,64.6,49,100,1.97,CA,2022-08-21 19:08:18
30,Pringsewu,-5.3582,104.9744,71.98,97,100,2.08,ID,2022-08-21 19:08:19
31,Portland,45.5234,-122.6762,83.86,59,14,1.99,US,2022-08-21 19:07:21
32,Rikitea,-23.1203,-134.9692,71.26,72,100,14.88,PF,2022-08-21 19:08:19
33,Neiafu,-18.65,-173.9833,63.28,94,20,0.0,TO,2022-08-21 19:08:20
34,Labuhan,-6.8844,112.2051,75.54,84,89,8.57,ID,2022-08-21 19:08:20
35,Saint-Philippe,-21.3585,55.7679,69.39,69,1,5.86,RE,2022-08-21 19:08:21
36,Novyy Urengoy,66.0833,76.6333,48.54,67,87,4.16,RU,2022-08-21 19:03:40
37,Vaini,-21.2,-175.2,71.76,88,20,6.91,TO,2022-08-21 19:08:21
38,Mamlyutka,54.9375,68.5394,51.71,64,100,6.33,KZ,2022-08-21 19:08:22
39,Vila Velha,-20.3297,-40.2925,71.55,72,20,18.41,BR,2022-08-21 19:08:22
40,Chokurdakh,70.6333,147.9167,55.36,86,100,4.79,RU,2022-08-21 19:08:22
41,Visby,57.6409,18.296,65.82,72,100,5.75,SE,2022-08-21 19:08:23
42,Torbay,47.6666,-52.7314,63.75,79,18,1.99,CA,2022-08-21 19:08:23
43,Winneba,5.3511,-0.6231,74.53,85,17,10.47,GH,2022-08-21 19:08:23
44,Monte Alegre De Minas,-18.8706,-48.8808,82.74,28,34,7.94,BR,2022-08-21 19:08:24
45,Tuktoyaktuk,69.4541,-133.0374,40.96,77,90,13.98,CA,2022-08-21 19:08:24
46,Cidreira,-30.1811,-50.2056,60.42,68,0,8.23,BR,2022-08-21 19:09:25
47,Nantucket,41.2835,-70.0995,80.71,60,0,6.91,US,2022-08-21 19:07:11
48,Mar Del Plata,-38.0023,-57.5575,53.1,79,100,11.5,AR,2022-08-21 19:09:25
49,Vyartsilya,62.1764,30.693,60.62,100,90,6.17,RU,2022-08-21 19:09:26
50,Jamestown,42.097,-79.2353,79.18,56,75,5.75,US,2022-08-21 19:04:44
51,Grandview,38.8858,-94.533,84.65,57,40,9.22,US,2022-08-21 19:09:26
52,Hermanus,-34.4187,19.2345,55.8,85,0,10.54,ZA,2022-08-21 19:09:27
53,Caravelas,-17.7125,-39.2481,71.22,74,95,16.24,BR,2022-08-21 19:09:27
54,Tiksi,71.6872,128.8694,41.0,92,100,14.32,RU,2022-08-21 19:08:22
55,Yeppoon,-23.1333,150.7333,58.78,87,11,9.28,AU,2022-08-21 19:09:28
56,Champerico,14.3,-91.9167,84.94,75,44,8.03,GT,2022-08-21 19:09:28
57,Lazurne,46.084,32.5295,75.94,80,0,12.35,UA,2022-08-21 19:09:29
58,Port Alfred,-33.5906,26.891,56.14,69,0,3.13,ZA,2022-08-21 19:09:29
59,Mahebourg,-20.4081,57.7,67.24,65,50,8.25,MU,2022-08-21 19:09:29
60,Klaksvik,62.2266,-6.589,49.12,85,100,25.12,FO,2022-08-21 19:09:30
61,Daru,-9.0763,143.2092,75.42,86,68,16.06,PG,2022-08-21 19:09:30
62,Gurupi,-11.7292,-49.0686,92.7,18,30,8.66,BR,2022-08-21 19:09:31
63,Pisco,-13.7,-76.2167,62.02,82,75,5.75,PE,2022-08-21 19:09:31
64,Hilo,19.7297,-155.09,82.26,67,0,11.5,US,2022-08-21 19:07:38
65,Nanortalik,60.1432,-45.2371,41.77,82,1,16.04,GL,2022-08-21 19:09:32
66,Arraial Do Cabo,-22.9661,-42.0278,67.86,64,40,11.5,BR,2022-08-21 19:09:32
67,Adrar,20.5022,-10.0711,99.64,22,98,3.2,MR,2022-08-21 19:09:32
68,Cape Town,-33.9258,18.4232,55.11,76,0,1.99,ZA,2022-08-21 19:08:30
69,Castro,-24.7911,-50.0119,60.33,73,94,4.32,BR,2022-08-21 19:09:33
70,Hobart,-42.8794,147.3294,56.26,67,100,23.02,AU,2022-08-21 19:05:33
71,Husavik,66.0449,-17.3389,43.12,67,7,4.92,IS,2022-08-21 19:09:33
72,Ostrovnoy,68.0531,39.5131,63.73,63,0,22.24,RU,2022-08-21 19:09:34
73,Kruisfontein,-34.0033,24.7314,48.88,74,0,5.35,ZA,2022-08-21 19:09:34
74,Aitape,-3.1374,142.3475,75.31,88,26,7.05,PG,2022-08-21 19:09:35
75,Ponta Do Sol,32.6667,-17.1,80.13,43,100,5.99,PT,2022-08-21 19:09:36
76,Saint-Augustin,51.226,-58.6502,76.51,61,16,12.41,CA,2022-08-21 19:09:36
77,Khorixas,-20.3667,14.9667,67.26,10,79,11.27,NA,2022-08-21 19:09:36
78,Coquimbo,-29.9533,-71.3436,59.25,74,3,5.75,CL,2022-08-21 19:09:37
79,Praia,14.9215,-23.5087,81.14,89,75,11.5,CV,2022-08-21 19:09:37
80,Redcliffe,-27.2307,153.0973,55.42,93,75,8.05,AU,2022-08-21 19:09:37
81,Sambava,-14.2667,50.1667,69.13,85,79,10.27,MG,2022-08-21 19:09:38
82,Lingao,19.9103,109.6859,78.31,89,28,7.27,CN,2022-08-21 19:09:38
83,Beringovskiy,63.05,179.3167,49.62,72,9,2.64,RU,2022-08-21 19:08:16
